SRL_OLD,SRL_NEW,Inventory,Supplier,PO,Order,Date,Type,QTY,Width,Height,Length,BDF,Species,Grade,Dryness,Dryness Today,Summary Name,Condition,BDF Cost,Freight Cost,Landed Cost,Value,Markup,Sell,Age,Status,Date Used,Project
DE 230731 0115,,Delson,Delson,,12727,7/31/2023,Heavy Timber,1,8,8,24,128.00,DF - FOHC,#1,Green,,DF - FOHC - 8x8x24,,,  0.31 ,  0.31 ,  39.22 ,  1.25 ,  49.02 ,  -   ,Available,,
DE 230731 0116,,Delson,Delson,,12727,7/31/2023,Heavy Timber,1,8,8,24,128.00,DF - FOHC,#1,Green,,DF - FOHC - 8x8x24,,,  0.31 ,  0.31 ,  39.22 ,  1.25 ,  49.02 ,  -   ,Available,,
DE 230731 0117,,Delson,Delson,,12727,7/31/2023,Heavy Timber,1,8,8,24,128.00,DF - FOHC,#1,Green,,DF - FOHC - 8x8x24,,,  0.31 ,  0.31 ,  39.22 ,  1.25 ,  49.02 ,  -   ,Available,,
DE 230731 0118,,Delson,Delson,,12727,7/31/2023,Heavy Timber,1,8,8,24,128.00,DF - FOHC,#1,Green,,DF - FOHC - 8x8x24,,,  0.31 ,  0.31 ,  39.22 ,  1.25 ,  49.02 ,  -   ,Available,,
DE 230731 0119,,Delson,Delson,,12727,7/31/2023,Heavy Timber,1,8,8,24,128.00,DF - FOHC,#1,Green,,DF - FOHC - 8x8x24,,,  0.31 ,  0.31 ,  39.22 ,  1.25 ,  49.02 ,  -   ,Available,,
DE 230731 0120,,Delson,Delson,,12727,7/31/2023,Heavy Timber,1,8,8,24,128.00,DF - FOHC,#1,Green,,DF - FOHC - 8x8x24,,,  0.31 ,  0.31 ,  39.22 ,  1.25 ,  49.02 ,  -   ,Available,,
DE 230731 0121,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0122,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0123,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0124,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0125,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0126,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0127,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0128,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0129,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0130,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0131,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0132,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0133,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0134,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0135,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0136,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0137,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0138,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0139,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0140,,Delson,Delson,,12708-2,7/31/2023,Heavy Timber,1,6,10,12,60.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x12,,,  0.31 ,  0.31 ,  18.38 ,  1.25 ,  22.98 ,  -   ,Available,,
DE 230731 0141,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0142,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0143,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0144,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0145,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0146,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0147,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0148,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0149,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0150,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0151,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0152,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0153,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0154,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0155,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0156,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0157,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0158,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0159,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0160,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0161,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0162,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0163,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0164,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0165,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0166,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0167,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0168,,Delson,Delson,,12728,7/31/2023,Heavy Timber,1,6,10,20,100.00,DF - FOHC,#1,Green,,DF - FOHC - 6x10x20,,,  0.31 ,  0.31 ,  30.64 ,  1.25 ,  38.30 ,  -   ,Available,,
DE 230731 0169,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0170,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0171,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0172,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0173,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0174,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0175,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0176,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0177,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0178,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0179,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0180,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0181,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0182,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0183,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0184,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0185,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0186,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0187,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0188,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0189,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0190,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0191,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0192,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0193,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0194,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0195,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0196,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0197,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0198,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0199,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0200,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0201,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0202,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0203,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230731 0204,,Delson,Delson,,12751,7/31/2023,Heavy Timber,1,4,8,18,48.00,DF - FOHC,#1,Green,,DF - FOHC - 4x8x18,,,  0.31 ,  0.31 ,  14.71 ,  1.25 ,  18.38 ,  -   ,Available,,
DE 230804 0001,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0002,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0003,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0004,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0005,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0006,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0007,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0008,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0009,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0010,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0011,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0012,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0013,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0014,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0015,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0016,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0017,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0018,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
DE 230804 0019,,Delson,Delson,,12742-B,8/4/2023,Heavy Timber,1,4,12,18,72.00,DF - FOHC,#1,Green,,DF - FOHC - 4x12x18,,,  0.30 ,  0.30 ,  21.85 ,  1.25 ,  27.31 ,  -   ,Available,,
